Key,en,es,ar,bn,tr
Dashboard,Dashboard,Panel,لوحة التحكم,ড্যাশবোর্ড,Gösterge Paneli
Language,Language,Idioma,اللغة,ভাষা,Dil
Information,Information,Información,معلومات,তথ্য,Bilgi
Language Information,Language Information,Información de idioma,معلومات اللغة,ভাষা তথ্য,Dil Bilgileri
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,ভাষা ব্যবস্থাপক,Dil Yöneticisi
Language created successfully!,Language created successfully!,¡Idioma creado con éxito!,تم إنشاء اللغة بنجاح!,ভাষা সফলভাবে তৈরি!,Dil başarıyla oluşturuldu!
Home,Home,Hogar,الصفحة الرئيسية,বাড়ি,Ev
Basic settings fetch successfully!,Basic settings fetch successfully!,¡La configuración básica se obtiene correctamente!,تم استرداد إعدادات أساسية بنجاح!,মৌলিক সেটিংস সফলভাবে আনা!,Temel ayarlar başarıyla alındı!
Access denied! Unauthenticated,Access denied! Unauthenticated,¡Acceso denegado! no autenticado,تم رفض الوصول! غير مُصادق عليه,প্রবেশাধিকার অস্বীকার! অপ্রমাণিত,Erişim engellendi! Kimliği doğrulanmadı
Something went wrong! Please try again,Something went wrong! Please try again,¡Algo salió mal! Inténtalo de nuevo,حدث خطأ ما! يرجى المحاولة مرة أخرى,কিছু ভুল হয়েছে! আবার চেষ্টা করুন,Bir sorun oluştu! Lütfen tekrar deneyin.
Verification code sended successfully to your mail. Please check your mail inbox/spam to verify,Verification code sended successfully to your mail. Please check your mail inbox/spam to verify,Código de verificación enviado con éxito a su correo. Por favor revise su bandeja de entrada de correo/correo no deseado para verificar,تم إرسال رمز التحقق بنجاح إلى بريدك الإلكتروني. يرجى التحقق من البريد الوارد أو البريد العشوائي للتحقق,আপনার মেইলে যাচাইকরণ কোড সফলভাবে পাঠানো হয়েছে। যাচাই করতে আপনার মেইল ইনবক্স/স্প্যাম চেক করুন,Doğrulama kodu e-postanıza başarıyla gönderildi. Lütfen doğrulamak için e-posta gelen kutunuzu/spam kutunuzu kontrol edin.
Successfully resend verification code!,Verification code resend successfully!,Código de verificación reenviado con éxito!,تم إعادة إرسال رمز التحقق بنجاح!,যাচাইকরণ কোড সফলভাবে পুনরায় পাঠানো হয়েছে!,Doğrulama kodu başarıyla tekrar gönderildi!
Invalid OTP. Please try again,Invalid OTP. Please try again,OTP no válido. Inténtalo de nuevo,رمز التحقق غير صالح. يرجى المحاولة مرة أخرى,অবৈধ OTP আবার চেষ্টা করুন,Geçersiz OTP. Lütfen tekrar deneyin.
Session expired. Please try again,Session expired. Please try again,Sesión expirada. Inténtalo de nuevo,انتهت الجلسة. يرجى المحاولة مرة أخرى,সেশনের মেয়াদ শেষ। আবার চেষ্টা করুন,Oturum süresi doldu. Lütfen tekrar deneyin.
Account successfully verified,Account successfully verified,Cuenta verificada con éxito,تم التحقق من الحساب بنجاح,অ্যাকাউন্ট সফলভাবে যাচাই করা হয়েছে,Hesap başarıyla doğrulandı
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه من KYC,আপনি ইতিমধ্যেই কেওয়াইসি যাচাইকৃত ব্যবহারকারী,Zaten KYC Doğrulanmış Kullanıcısınız
Your KYC information is submitted. Please wait for admin confirmation,Your KYC information is submitted. Please wait for admin confirmation,Su información KYC ha sido enviada. Espere la confirmación del administrador,تم إرسال معلومات KYC الخاصة بك. يرجى الانتظار لتأكيد المسؤول,আপনার কেওয়াইসি তথ্য জমা দেওয়া হয়েছে। অ্যাডমিন নিশ্চিতকরণের জন্য অপেক্ষা করুন,KYC bilgileriniz gönderildi. Lütfen yönetici onayını bekleyin.
User KYC section is under maintenance,User KYC section is under maintenance,La sección KYC del usuario está en mantenimiento,قسم KYC للمستخدم قيد الصيانة,ব্যবহারকারীর কেওয়াইসি বিভাগ রক্ষণাবেক্ষণের অধীনে রয়েছে,Kullanıcı KYC bölümü bakımdadır
User KYC input fields fetch successfully!,User KYC input fields fetch successfully!,¡Los campos de entrada KYC del usuario se obtienen con éxito!,تم استرداد حقول إدخال KYC للمستخدم بنجاح!,ব্যবহারকারীর KYC ইনপুট ক্ষেত্র সফলভাবে আনা!,Kullanıcı KYC giriş alanları başarıyla getirildi!
KYC information successfully submitted,KYC information successfully submitted,Información KYC enviada con éxito,تم إرسال معلومات KYC بنجاح,KYC তথ্য সফলভাবে জমা দেওয়া হয়েছে,KYC bilgileri başarıyla gönderildi
Your account secure with google 2FA,Your account secure with google 2FA,Tu cuenta segura con google 2FA,حسابك آمن باستخدام Google 2FA,Google 2FA এর মাধ্যমে আপনার অ্যাকাউন্ট সুরক্ষিত,Hesabınız Google 2FA ile güvende
To enable two factor authentication (powered by google) please visit your web dashboard Click here:,To enable two factor authentication (powered by google) please visit your web dashboard Click here:,"Para habilitar la autenticación de dos factores (con la tecnología de Google), visite su panel web Haga clic aquí:",لتمكين المصادقة الثنائية (مدعومة من Google) يرجى زيارة لوحة التحكم الخاصة بك على الويب انقر هنا:,দুই ফ্যাক্টর প্রমাণীকরণ সক্ষম করতে (গুগল দ্বারা চালিত) অনুগ্রহ করে আপনার ওয়েব ড্যাশবোর্ডে যান এখানে ক্লিক করুন:,İki faktörlü kimlik doğrulamayı etkinleştirmek için (Google tarafından desteklenmektedir) lütfen web panelinizi ziyaret edin Buraya tıklayın:
Request response fetch successfully!,Request response fetch successfully!,Solicitud de respuesta obtenida con éxito.,تم استرداد استجابة الطلب بنجاح!,অনুরোধ প্রতিক্রিয়া সফলভাবে আনা!,İstek yanıtı başarıyla alındı!
